"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Reseda","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",91,2712,0.0077,0.031,0.0328,15731
2020-01-31,"Ridgewood","NY","New York-Newark-Jersey City","Queens County","New York",92,2217,0.0006,0.0016,0.0014,10970
2020-01-31,"Clear Lake","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",93,1234,0.0012,0.0147,0.0287,21970
2020-01-31,"Central Southwest","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",94,1300,0.0056,0.0042,-0.0629,20644
2020-01-31,"Northeast","TX","El Paso","El Paso County","El Paso",95,865,0.0012,0.0117,-0.0011,26592
2020-01-31,"West Rogers Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",96,1593,-0.0122,-0.0116,0.003,15772
2020-01-31,"East Village","NY","New York-Newark-Jersey City","New York County","New York",97,3415,-0.0089,-0.0239,-0.0091,11923
2020-01-31,"South Dorchester","MA","Boston-Cambridge-Newton","Suffolk County","Boston",98,2498,0.0072,-0.0679,0.0335,18792
2020-01-31,"Park Slope","NY","New York-Newark-Jersey City","Kings County","New York",99,2714,-0.0092,0.0061,0.036,24987
2020-01-31,"Hickory Ridge-South Riverdale","TN","Memphis","Shelby County","Memphis",100,989,0.0047,0.0141,0.0385,16652
2020-01-31,"South Belt - Ellington","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",101,1225,0.0272,0.0421,-0.0268,15588
2020-01-31,"Panorama City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",102,2553,0.0017,0.0115,0.019,8977
2020-01-31,"Jackson Heights","NY","New York-Newark-Jersey City","Queens County","New York",103,2124,-0.0025,0.0268,0.0147,19251
2020-01-31,"Greater Fondren Southwest","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",104,1277,-0.0002,0.0089,-0.0162,12789
2020-01-31,"Northeast Raleigh","NC","Raleigh","Wake County","Raleigh",105,1280,0.0227,0.0378,0.048,24251
2020-01-31,"Princess Anne","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",106,1678,0.0037,0.0191,0.0432,24940
2020-01-31,"Southeast Colorado Springs","CO","Colorado Springs","El Paso County","Colorado Springs",107,1409,0.011,0.0334,0.0663,17324
2020-01-31,"Midtown","TN","Memphis","Shelby County","Memphis",108,818,0.0024,0.0078,0.0488,24686
2020-01-31,"Midwood","NY","New York-Newark-Jersey City","Kings County","New York",109,2065,-0.0277,-0.0283,0.0159,12572
2020-01-31,"Centennial Hills","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",110,1446,-0.0015,-0.0001,0.0287,30454
2020-01-31,"East Colorado Springs","CO","Colorado Springs","El Paso County","Colorado Springs",111,1465,0.0034,0.0145,0.0465,21582
2020-01-31,"East Elmhurst","NY","New York-Newark-Jersey City","Queens County","New York",112,2190,0.0089,0.0028,0.0059,17367
2020-01-31,"Northeast Colorado Springs","CO","Colorado Springs","El Paso County","Colorado Springs",113,1577,0.0109,0.0265,0.0417,21497
2020-01-31,"Gravesend","NY","New York-Newark-Jersey City","Kings County","New York",114,2073,-0.0087,-0.0054,0.0204,13000
2020-01-31,"Kingwood","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",115,1316,0.0076,0.0034,-0.0122,22582
2020-01-31,"Bath Beach","NY","New York-Newark-Jersey City","Kings County","New York",116,2179,0.0024,0.0048,0.0367,15126
2020-01-31,"Oak Cliff","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",117,1319,-0.0161,-0.0029,0.0207,10994
2020-01-31,"Central Colorado Springs","CO","Colorado Springs","El Paso County","Colorado Springs",118,1420,-0.0008,0.014,0.0622,20020
2020-01-31,"Valley Glen","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",119,2686,-0.0142,0.0123,0.0206,11123
2020-01-31,"Ozone Park","NY","New York-Newark-Jersey City","Queens County","New York",120,2138,-0.0239,-0.0154,-0.0153,13977
2020-01-31,"Northside-Northline","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",121,1234,-0.0088,-0.0118,-0.0364,11637
2020-01-31,"Flagami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami",122,1749,-0.0003,-0.0026,0.0108,14700
2020-01-31,"North Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",123,2610,-0.0041,0.0247,0.0162,11000
2020-01-31,"Woodward Park","CA","Fresno","Fresno County","Fresno",124,1646,0.0028,0.0187,0.0497,21075
2020-01-31,"Brownsville","NY","New York-Newark-Jersey City","Kings County","New York",125,2189,0.0099,-0.0107,0.0189,5282
2020-01-31,"Okolona","KY","Louisville/Jefferson County","Jefferson County","Louisville",126,992,0.0049,0.0251,0.0459,16176
2020-01-31,"Laveen","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",127,1434,0.0027,0.065,0.0976,21034
2020-01-31,"Little Havana","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami",128,1685,0.0016,-0.0012,0.0263,9296
2020-01-31,"Gramercy","NY","New York-Newark-Jersey City","New York County","New York",129,3523,0.008,-0.0055,0.0192,24095
2020-01-31,"South Austin","IL","Chicago-Naperville-Elgin","Cook County","Chicago",130,1325,0.003,0.0116,-0.0374,6683
2020-01-31,"The Heights","NJ","New York-Newark-Jersey City","Hudson County","Jersey City",131,2108,-0.007,-0.012,0.0528,5966
2020-01-31,"Tremont","NY","New York-Newark-Jersey City","Bronx County","New York",132,1798,0.0107,0.0344,0.0974,1454
2020-01-31,"Mclane","CA","Fresno","Fresno County","Fresno",133,1242,0.0056,0.0239,0.0709,14451
2020-01-31,"Roxbury","MA","Boston-Cambridge-Newton","Suffolk County","Boston",134,2835,0.0111,-0.0172,0.09,7652
2020-01-31,"Central City","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",135,1388,-0.0116,0.0293,0.1001,11708
2020-01-31,"Hoover","CA","Fresno","Fresno County","Fresno",136,1344,0.0078,0.0106,0.0313,12758
